element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Sb,3,69.118,,,10,,,,,,,,,,,,,L3303,
Sb,3,69.869,,,10,,,,,,,,,,,,,L3303,
Sb,5,69.922,,,3,,,,,,,,,,,,,L3982,
Sb,3,72.286,,,15,,,,,,,,,,,,,L3303,
Sb,3,72.481,,,8,,,,,,,,,,,,,L3303,
Sb,3,73.233,,,15,,,,,,,,,,,,,L3303,
Sb,5,74.606,,,1,,,,,,,,,,,,,L3982,
Sb,2,76.4381,,,1,,,,,,,,,,,,,"L16370,L3304",
Sb,2,81.4793,,,1,,,,,,,,,,,,,"L16370,L3304",
Sb,5,83.100,,,6,,,,,,,,,,,,,L3982,
Sb,2,84.939,,,1,,,,,,,,,,,,,L3304,
Sb,2,85.4625,,,2,,,,,,,,,,,,,"L16370,L3304",
Sb,2,87.6796,87.6795+,0.0011,4,,,0.0,114051.7,5s2.5p2,3P,0,5s2.5p.8s,3P*,1,,,"L16325,L3304",
Sb,5,89.802,,,1,,,,,,,,,,,,,L3982,
Sb,2,92.1049,,,4,,,,,,,,,,,,,"L16325,L3304",
Sb,2,98.3592,98.3593+,0.0014,6,,,3054.6,104722.7,5s2.5p2,3P,1,5s2.5p.6d,3D*,2,,,"L16325,L3304",
Sb,3,99.962,,,15,,,,,,,,,,,,,L3303,
Sb,2,100.1144,,,6,,,,,,,,,,,,,"L16370,L3304",
Sb,2,100.9442,100.9443+,0.0014,6,,,5658.2,104722.7,5s2.5p2,3P,2,5s2.5p.6d,3D*,2,,,"L16325,L3304",
Sb,3,101.194,,,40,,,,,,,,,,,,,L3303,
Sb,2,105.2236,105.2235+,0.0016,6,,,12789.8,107825.6,5s2.5p2,1D,2,5s2.5p.7s,3P*,2,,,"L16325,L3304",
Sb,2,105.6228,105.6226+,0.0016,8,,,12789.8,107466.5,5s2.5p2,1D,2,5s.5p3,1P*,1,,,"L16325,L3304",
Sb,3,105.658,,,10,,,,,,,,,,,,,L3303,
Sb,2,105.7276,105.7276+,0.0016,8,,,3054.6,97637.3,5s2.5p2,3P,1,5s.5p3,3S*,1,,,"L16325,L3304",
Sb,3,106.590,,,40,,,,,,,,,,,,,L3303,
Sb,3,106.993,,,20,,,,,,,,,,,,,L3303,
Sb,3,107.043,,,20,,,,,,,,,,,,,L3303,
Sb,3,107.376,,,5,,,,,,,,,,,,,L3303,
Sb,2,107.3828,,,6,,,,,,,,,,,,,"L16370,L3304",
Sb,3,107.582,,,30,,,,,,,,,,,,,L3303,
Sb,3,107.810,,,5,,,,,,,,,,,,,L3303,
Sb,3,108.406,,,20,,,,,,,,,,,,,L3303,
Sb,3,109.834,,,10,,,,,,,,,,,,,L3303,
Sb,5,110.432,,,8,,,,,,,,,,,,,L3982,
Sb,3,113.543,,,10,,,,,,,,,,,,,L3303,
Sb,3,115.149,,,30,,,,,,,,,,,,,L3303,
Sb,3,115.774,,,40,,,,,,,,,,,,,L3303,
Sb,3,116.696,,,12,,,,,,,,,,,,,L3303,
Sb,3,120.520,,,50,,,,,,,,,,,,,L3303,
Sb,3,121.064,,,50,,,,,,,,,,,,,L3303,
Sb,5,122.600,,,12,,,,,,,,,,,,,L3982,
Sb,2,123.0236,123.0238+,0.0021,6,,,23905.5,105190.6,5s2.5p2,1S,0,5s2.5p.6d,3D*,1,,,"L16325,L3304",
Sb,2,127.4670,127.4673+,0.0023,8,,,12789.8,91241.3,5s2.5p2,1D,2,5s2.5p.5d,3P*,2,,,"L16325,L3304",
Sb,2,127.4938,127.4938+,0.0023,8,,,12789.8,91225.0,5s2.5p2,1D,2,5s2.5p.5d,1F*,3,,,"L16325,L3304",
Sb,3,130.669,,,20,,,,,,,,,,,,,L3303,
Sb,2,132.7378,132.7381+,0.0025,8,,,3054.6,78390.9,5s2.5p2,3P,1,5s.5p3,3P*,2,,,"L16325,L3304",
Sb,2,135.8009,135.801+,0.003,6,,,3054.6,76691.8,5s2.5p2,3P,1,5s2.5p.5d,3F*,2,,,"L16325,L3304",
Sb,3,137.958,,,8,,,,,,,,,,,,,L3303,
Sb,2,138.4656,138.466+,0.003,8,1.1e+08,,3054.6,75274.5,5s2.5p2,3P,1,5s2.5p.6s,3P*,2,,T7227,"L16325,L3304",
Sb,3,140.418,,,20,,,,,,,,,,,,,L3303,
Sb,2,140.7784,140.778+,0.003,6,,,5658.2,76691.8,5s2.5p2,3P,2,5s2.5p.5d,3F*,2,,,"L16325,L3304",
Sb,3,142.957,,,10,,,,,,,,,,,,,L3303,
Sb,1,143.076,143.0758,0.0010,10,,,0.000,69893.0,5p3,4S*,3/2,5p2.(3P).9d,,1/2?,,,L7406,
Sb,2,143.6447,143.645+,0.003,8,5.2e+08,,5658.2,75274.5,5s2.5p2,3P,2,5s2.5p.6s,3P*,2,,T7227,"L16325,L3304",
Sb,1,146.419,,,10w?,,,,,,,,,,,,,L7406,
Sb,1,148.657,148.658005,0.000010,20r,,,0.000,67268.493,5p3,4S*,3/2,5p2.(3P).6d,2D?,3/2,,,L7406,
Sb,1,149.136,149.135465,0.000010,40w,,,0.000,67053.132,5p3,4S*,3/2,,67053,3/2,,,L7406,
Sb,5,150.570,,,12,,,,,,,,,,,,,L3982,
Sb,1,151.257,151.255686,0.000010,50r,,,0.000,66113.217,5p3,4S*,3/2,5p2.(3P).8s,4P,3/2,,,L7406,
Sb,5,152.447,,,12,,,,,,,,,,,,,L3982,
Sb,1,153.274,153.272561,0.000010,120r,,,0.000,65243.250,5p3,4S*,3/2,5p2.(1D).5d,2D,5/2,,,L7406,
Sb,1,153.506,153.50702,0.00010,80r,,,0.000,65143.60,5p3,4S*,3/2,5p2.(3P).6d,4D,3/2?,,,L7406,
Sb,2,156.5501,156.550+,0.003,6,,,5658.2,69535.7,5s2.5p2,3P,2,5s2.5p.6s,3P*,1,,,"L16325,L3304",
Sb,2,157.6099,157.610+,0.004,8,,,3054.6,66502.3,5s2.5p2,3P,1,5s.5p3,3D*,2,,,"L16325,L3304",
Sb,2,158.1353,158.135+,0.004,7,,,3054.6,66291.6,5s2.5p2,3P,1,5s.5p3,3D*,1,,,"L16325,L3304",
Sb,1,159.996,159.995576,0.000010,80r,,,0.000,62501.728,5p3,4S*,3/2,5p2.(3P).6d,4F,5/2,,,L7406,
Sb,2,160.6952,160.696+,0.004,10,,,5658.2,67887.5,5s2.5p2,3P,2,5s.5p3,3D*,3,,,"L16325,L3304",
Sb,1,161.28,,,200w,,,,,,,,,,,,,L7406,
Sb,1,162.33,,,100w,,,,,,,,,,,,,L7406,
Sb,1,165.120,,,50w,,,,,,,,,,,,,L7406,
Sb,2,165.7036,165.736+,0.004,20,,,51722.9,112060.0,5s.5p3,5S*,2,5s2.5p.4f,1D,2,,,L3304,
Sb,1,166.26,166.2821,0.0010,100w,,,8512.125,68650.9,5p3,2D*,3/2,5p2.(3P).8s,4P,5/2,,,L7406,
Sb,3,167.389,,,15,,,,,,,,,,,,,L3303,
Sb,1,169.885,169.886327,0.000010,50,,,0.000,58862.889,5p3,4S*,3/2,5p2.(3P).5d,4D,5/2,,,L7406,
Sb,3,171.023,,,3,,,,,,,,,,,,,L3303,
Sb,3,171.184,,,15,,,,,,,,,,,,,L3303,
Sb,1,171.693,,,80r,,,,,,,,,,,,,L7406,
Sb,1,171.745,171.745531,0.000010,150r,,,9854.018,68079.696,5p3,2D*,5/2,5p2.(3P).6d,2F,7/2,,,L7406,
Sb,1,172.343,172.34526,0.00010,150r,,,8512.125,66535.19,5p3,2D*,3/2,,66535,"3/2,5/2",,,L7406,
Sb,3,172.533,,,15,,,,,,,,,,,,,L3303,
Sb,1,173.619,173.619542,0.000010,100r,,,0.000,57597.203,5p3,4S*,3/2,5p2.(3P).5d,4D,1/2,,,L7406,
Sb,2,173.6469,,,8,,,,,,,,,,,,,"L16370,L3304",
Sb,1,175.779,175.780576,0.000010,50,,,9854.018,66743.125,5p3,2D*,5/2,5p2.(3P).6d,4D,7/2,,,L7406,
Sb,3,176.230,,,12,,,,,,,,,,,,,L3303,
Sb,1,176.576,176.58025,0.00010,100w,,,8512.125,65143.60,5p3,2D*,3/2,5p2.(3P).6d,4D,3/2?,,,L7406,
Sb,1,178.087,178.088675,0.000010,100r,,,0.000,56151.802,5p3,4S*,3/2,5p2.(3P).5d,4P,3/2,,,L7406,
Sb,1,178.824,178.826032,0.000010,100r,,,8512.125,64432.395,5p3,2D*,3/2,5p2.(3P).7d,,3/2,,,L7406,
Sb,1,180.018,180.018715,0.000010,150,,,9854.018,65403.798,5p3,2D*,5/2,5p2.(1D).5d,2F,7/2,,,L7406,
Sb,1,181.050,181.051304,0.000010,50r,,,0.000,55232.963,5p3,4S*,3/2,5p2.(1D).6s,2D,3/2,,,L7406,
Sb,1,181.420,181.419247,0.000010,80r,,,0.000,55120.943,5p3,4S*,3/2,5p2.(3P).5d,4F,5/2,,,L7406,
Sb,1,182.950,182.950188,0.000010,100,,,9854.018,64513.705,5p3,2D*,5/2,5p2.(3P).6d,2F,5/2,,,L7406,
Sb,3,183.932,,,12,,,,,,,,,,,,,L3303,
Sb,1,185.889,185.889348,0.000010,60,,,9854.018,63649.462,5p3,2D*,5/2,5p2.(3P).7s,2P,3/2,,,L7406,
Sb,1,186.817,186.818267,0.000010,50r,,,0.000,53527.956,5p3,4S*,3/2,5p2.(3P).5d,4F,3/2,,,L7406,
Sb,1,187.115,187.115360,0.000010,300r,,,0.000,53442.967,5p3,4S*,3/2,5p2.(3P).5d,4P,5/2,,,L7406,
Sb,1,188.256,188.25677,0.00010,150r,,,8512.125,61631.065,5p3,2D*,3/2,5p2.(3P).5d,2D,5/2,,,L7406,
Sb,1,189.128,189.12750,0.00010,70,,,8512.125,61386.509,5p3,2D*,3/2,5p2.(3P).7s,2P,1/2,,,L7406,
Sb,1,189.939,189.94178,0.00010,70,,,9854.018,62501.728,5p3,2D*,5/2,5p2.(3P).6d,4F,5/2,,,L7406,
Sb,1,192.708,192.70663,0.00010,100,,,8512.125,60404.475,5p3,2D*,3/2,5p2.(3P).5d,,5/2,,,L7406,
Sb,3,194.613,,,10,,,,,,,,,,,,,L3303,
Sb,1,195.039,195.03928,0.00010,200r,,,9854.018,61125.741,5p3,2D*,5/2,5p2.(3P).5d,2F,7/2,,,L7406,
Sb,1,196.43,,,80w,,,,,,,,,,,,,L7406,
Sb,1,198.605,198.60672,0.00010,60,,,8512.125,58862.889,5p3,2D*,3/2,5p2.(3P).5d,4D,5/2,,,L7406,
Sb,2,199.017,199.022+,0.006,1,,,77139.4,127385.2,5s.5p3,3P*,1,5s.5p2.(4P).6s,3P,1,,,"L16370,L3304",
Sb,2,199.034,199.035+,0.006,6,,,77139.4,127381.9,5s.5p3,3P*,1,5s.5p2.(4P).6s,3P,0,,,"L16370,L3304",
Sb,1,202.400,202.40026,0.00010,50,,,0.000,49391.133,5p3,4S*,3/2,5p2.(3P).6s,2P,3/2,,,L7406,
Sb,1,202.949,202.94305,0.00010,60r,,,16395.359,65654.41,5p3,2P*,1/2,5p2.(1S).6s,2S,1/2?,,,L7406,
Sb,1,203.977,203.97918,0.00010,70r,,,9854.018,58862.889,5p3,2D*,5/2,5p2.(3P).5d,4D,5/2,,,L7406,
Sb,1,204.957,204.95768,0.00010,150r,,,8512.125,57287.052,5p3,2D*,3/2,5p2.(3P).5d,2F,5/2,,,L7406,
Sb,3,205.410,,,3,,,,,,,,,,,,,L3303,
Sb,1,206.343,206.34065,0.00010,50,,,16395.359,64843.421,5p3,2P*,1/2,5p2.(1D).5d,2D,3/2,,,L7406,
Sb,1,206.833,206.83440,0.00010,1000r,1.81e+08,,0.000,48332.424,5p3,4S*,3/2,5p2.(3P).6s,4P,5/2,,T3880,L7406,
Sb,1,207.956,207.95942,0.00010,100,,,18464.202,66535.19,5p3,2P*,3/2,,66535,"3/2,5/2",,,L7406,
Sb,3,209.185,,,2,,,,,,,,,,,,,L3303,
Sb,1,209.841,209.84244,0.00010,50r,,,8512.125,56151.802,5p3,2D*,3/2,5p2.(3P).5d,4P,3/2,,,L7406,
Sb,1,211.848,211.84135,0.00010,80r,,,18464.202,65654.41,5p3,2P*,3/2,5p2.(1S).6s,2S,1/2?,,,L7406,
Sb,3,212.700,,,5,,,,,,,,,,,,,L3303,
Sb,1,212.739,212.73925,0.00010,100r,,,0.000,46991.058,5p3,4S*,3/2,5p2.(3P).6s,2P,1/2,,,L7406,
Sb,1,213.705,213.70352,0.00010,50r,,,18464.202,65243.250,5p3,2P*,3/2,5p2.(1D).5d,2D,5/2,,,L7406,
Sb,1,213.969,213.96981,0.00010,100r,1.74e+08,,8512.125,55232.963,5p3,2D*,3/2,5p2.(1D).6s,2D,3/2,,T3880,L7406,
Sb,2,214.180,214.176+,0.006,10,,,66291.6,112967.5,5s.5p3,3D*,1,5s2.5p.4f,3D,2,,,"L3304,L16370",
Sb,1,214.183,214.18403,0.00010,50r,,,9854.018,56528.132,5p3,2D*,5/2,5p2.(3P).5d,4F,7/2,,,L7406,
Sb,1,214.486,214.48413,0.00010,100r,,,8512.125,55120.943,5p3,2D*,3/2,5p2.(3P).5d,4F,5/2,,,L7406,
Sb,1,215.891,215.89169,0.00010,50,,,18464.202,64769.175,5p3,2P*,3/2,5p2.(3P).6d,4D,1/2,,,L7406,
Sb,1,217.581,217.58175,0.00010,1500r,1.75e+08,,0.000,45945.340,5p3,4S*,3/2,5p2.(3P).6s,4P,3/2,,T3880,L7406,
Sb,1,217.919,217.91898,0.00010,250r,2.39e+08,,9854.018,55728.264,5p3,2D*,5/2,5p2.(1D).6s,2D,5/2,,T3880,L7406,
Sb,1,220.132,220.13091,0.00010,200r,,,16395.359,61808.698,5p3,2P*,1/2,5p2.(3P).5d,2D,3/2,,,L7406,
Sb,1,220.845,220.84298,0.00010,300r,,,9854.018,55120.943,5p3,2D*,5/2,5p2.(3P).5d,4F,5/2,,,L7406,
Sb,1,222.073,222.07495,0.00010,150r,,,8512.125,53527.956,5p3,2D*,3/2,5p2.(3P).5d,4F,3/2,,,L7406,
Sb,1,222.198,222.19679,0.00010,100,,,16395.359,61386.509,5p3,2P*,1/2,5p2.(3P).7s,2P,1/2,,,L7406,
Sb,1,222.493,222.49506,0.00010,120r,,,8512.125,53442.967,5p3,2D*,3/2,5p2.(3P).5d,4P,5/2,,,L7406,
Sb,2,222.515,,,6,,,,,,,,,,,,,"L3304,L16370",
Sb,1,226.251,226.24837,0.00010,300r,,,16395.359,60580.899,5p3,2P*,1/2,5p2.(3P).6d,2D,3/2,,,L7406,
Sb,1,228.898,228.89892,0.00010,120,,,9854.018,53527.956,5p3,2D*,5/2,5p2.(3P).5d,4F,3/2,,,L7406,
Sb,1,229.344,229.34526,0.00010,150r,,,9854.018,53442.967,5p3,2D*,5/2,5p2.(3P).5d,4P,5/2,,,L7406,
Sb,1,230.646,230.63883,0.00010,300r*,,,18464.202,61808.698,5p3,2P*,3/2,5p2.(3P).5d,2D,3/2,,,L7406,
Sb,1,230.646,230.65070,0.00010,300r*,,,16395.359,59737.625,5p3,2P*,1/2,5p2.(3P).5d,2P,1/2,,,L7406,
Sb,1,231.147,231.14633,0.00010,2500r,1.69e+08,,0.000,43249.337,5p3,4S*,3/2,5p2.(3P).6s,4P,1/2,,T3880,L7406,
Sb,1,231.589,231.58800,0.00010,150,,,18464.202,61631.065,5p3,2P*,3/2,5p2.(3P).5d,2D,5/2,,,L7406,
Sb,1,237.367,237.36306,0.00010,400w,,,18464.202,60580.899,5p3,2P*,3/2,5p2.(3P).6d,2D,3/2,,,L7406,
Sb,1,238.364,238.36162,0.00010,300w,,,18464.202,60404.475,5p3,2P*,3/2,5p2.(3P).5d,,5/2,,,L7406,
Sb,1,239.522,239.52090,0.00010,100,,,16395.359,58132.656,5p3,2P*,1/2,5p2.(3P).7s,4P,1/2,,,L7406,
Sb,1,242.213,242.21310,0.00010,150,,,18464.202,59737.625,5p3,2P*,3/2,5p2.(3P).5d,2P,1/2,,,L7406,
Sb,1,242.635,242.63392,0.00010,250,,,16395.359,57597.203,5p3,2P*,1/2,5p2.(3P).5d,4D,1/2,,,L7406,
Sb,1,244.551,244.55023,0.00010,400r,,,8512.125,49391.133,5p3,2D*,3/2,5p2.(3P).6s,2P,3/2,,,L7406,
Sb,1,247.832,247.83155,0.00010,400,,,16395.359,56733.162,5p3,2P*,1/2,5p2.(3P).5d,2P,3/2,,,L7406,
Sb,1,248.044,248.04405,0.00010,150,,,16395.359,56698.608,5p3,2P*,1/2,5p2.(3P).5d,4P,1/2,,,L7406,
Sb,2,248.046,248.078+,0.009,8,,,76857.8,117155.6,5s.5p3,3P*,0,5s2.5p.8p,1P,1,,,"L3304,L16370",
Sb,3,250.771,,,5,,,,,,,,,,,,,L3303,
Sb,1,251.054,251.05259,0.00010,100,,,8512.125,48332.424,5p3,2D*,3/2,5p2.(3P).6s,4P,5/2,,,L7406,
Sb,1,252.852,252.85088,0.00010,2000r,1.77e+08,,9854.018,49391.133,5p3,2D*,5/2,5p2.(3P).6s,2P,3/2,,T3880,L7406,
Sb,2,252.8535,252.849+,0.009,15,,,72389.7,111927.1,5s2.5p.5d,1D*,2,5s2.5p.4f,3D,3,,,"L3304,L16370",
Sb,2,256.7754,256.774+,0.009,10,,,12789.8,51722.9,5s2.5p2,1D,2,5s.5p3,5S*,2,,,"L3304,L16370",
Sb,1,257.406,257.40532,0.00010,150,,,16395.359,55232.963,5p3,2P*,1/2,5p2.(1D).6s,2D,3/2,,,L7406,
Sb,3,259.013,,,15,,,,,,,,,,,,,L3303,
